Date,Time,League,Home,Away,Odd_H_Back,Odd_D_Back,Odd_A_Back,Odd_Over25_FT_Back,Odd_BTTS_Yes_Back,Odd_Over15_FT_Back
2025-07-18,19:00:00,Brazilian Serie B,Atletico GO,Criciuma,1.8,3.4,5.8,2.68,2.38,1.55
2025-07-18,19:30:00,Argentinian Primera Division,Boca Juniors,Union Santa Fe,1.85,3.4,5.8,2.82,2.46,1.6
2025-07-18,19:30:00,Argentinian Primera C,CA Ituzaingo,CA Puerto Nuevo,1.39,4.3,10.5,2.28,2.52,1.4
2025-07-18,20:00:00,US USL League One,Union Omaha,Tormenta FC,1.64,4.0,4.8,1.66,1.6,1.22
2025-07-18,20:00:00,Brazilian Copa Paulista,XV de Piracicaba,Sao Bento,2.06,2.66,4.9,2.78,2.2,1.61
2025-07-18,20:00:00,Canadian Premier League,Forge,Pacific,1.64,3.8,6.0,2.0,1.9,1.33
2025-07-18,20:00:00,Chilean Segunda Division,Provincial Ovalle FC,Deportes Rengo Unido,1.68,3.5,5.3,2.04,1.94,1.36
2025-07-18,20:00:00,Colombian Primera A,Union Magdalena,Llaneros FC,2.18,3.0,4.3,2.7,2.14,1.54
2025-07-18,20:00:00,Chilean Primera Division,Everton De Vina,Deportes Limache,2.28,3.5,3.35,2.04,1.82,1.35
2025-07-18,20:00:00,Canadian Premier League,Atletico Ottawa,HFX Wanderers,2.24,3.55,3.05,1.75,1.61,1.24
2025-07-18,20:00:00,US United Soccer League,Detroit City FC,Pittsburgh Riverhounds,3.0,3.1,2.6,2.64,2.04,1.53
2025-07-18,20:30:00,US United Soccer League,North Carolina FC,Indy Eleven,2.2,3.45,3.45,2.02,1.65,1.34
2025-07-18,21:00:00,Chilean Tercera Division,Municipal Puente Alto,Municipal Mejillones,1.02,3.35,1.09,1.61,1.01,1.23
2025-07-18,21:00:00,Venezuelan Primera Division,Academia Anzoategui FC,Caracas,3.45,2.82,1.98,2.22,1.82,1.41
2025-07-18,21:00:00,US MLS Next Pro League,Huntsville FC,Columbus Crew 2,1.47,4.1,5.7,1.56,1.71,1.17
2025-07-18,21:00:00,Peruvian Primera Division,Deportivo Garcilaso,CD Los Chankas,2.04,3.55,3.95,2.1,1.88,1.37
2025-07-18,21:00:00,Ecuadorian Serie A,Independiente (Ecu),Aucas,1.84,3.55,4.9,2.14,1.96,1.38
2025-07-18,21:00:00,CONMEBOL Women's Copa America,Argentina (W),Chile (W),2.36,3.05,3.25,2.22,1.87,1.39
2025-07-18,21:30:00,Argentinian Primera Division,Atl Tucuman,Central Cordoba (SdE),2.62,2.8,3.7,3.35,2.4,1.74
2025-07-18,21:30:00,Brazilian Serie B,Ferroviaria,Athletic Club,2.5,3.15,3.3,2.68,2.2,1.56
2025-07-18,21:30:00,US MLS Next Pro League,Sporting Kansas City II,North Texas SC,2.84,4.4,2.04,1.47,1.46,1.15
2025-07-18,22:00:00,Mexican Liga MX Femenil,Tigres (W),Club Necaxa (W),1.05,5.2,5.0,1.27,3.1,1.08
2025-07-18,22:00:00,Mexican Liga MX,Necaxa,Queretaro,1.62,4.4,6.0,1.77,1.84,1.26
2025-07-18,22:10:00,Colombian Primera A,Tolima,Santa Fe,2.2,3.3,3.75,2.38,2.02,1.45
2025-07-18,22:30:00,Panamanian Premier League,Veraguas FC,Herrera FC,2.54,3.05,2.78,2.1,1.8,1.38
2025-07-18,23:00:00,Peruvian Primera Division,Universitario de Deportes,Comerciantes Unidos,1.08,13.5,20.0,1.43,3.3,1.13
